;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_10899|ID:85465116|umpB|;0;-1,35779511889973;0
VAESTLR12016_v1_11911|ID:85466128|;0;-1,35438477425135;0
VAESTLR12016_v1_12026|ID:85466243|;0;-1,36268120800946;0
VAESTLR12016_v1_11217|ID:85465434|;0;-1,33692657335018;0
VAESTLR12016_v1_21179|ID:85468339|oah|;0;-1,32974023487256;0
VAESTLR12016_v1_12743|ID:85466960|astA|;0;-1,34492288957229;0
VAESTLR12016_v1_20129|ID:85467289|hlyC|;0;-1,38885803150561;0
VAESTLR12016_v1_11314|ID:85465531|torA|;0;-1,38824915611556;0
VAESTLR12016_v1_20712|ID:85467872|;0;-1,39360685374646;0
VAESTLR12016_v1_20564|ID:85467724|;0;-1,38380896164415;0
VAESTLR12016_v1_10530|ID:85464747|oadA|;0;-1,3814433470398;0
VAESTLR12016_v1_20658|ID:85467818|;0;-1,28785522869918;0
VAESTLR12016_v1_20045|ID:85467205|;0;-1,28665883577612;0
VAESTLR12016_v1_20533|ID:85467693|;0;-1,2851096142309;0
VAESTLR12016_v1_11731|ID:85465948|;0;-1,2807059896948;0
VAESTLR12016_v1_20704|ID:85467864|;0;-1,26891670014827;0
VAESTLR12016_v1_11444|ID:85465661|yhdZ|;0;-1,26182159552565;0
VAESTLR12016_v1_20313|ID:85467473|;0;-1,30534592907578;0
VAESTLR12016_v1_11446|ID:85465663|yhdX|;0;-1,30255479143173;0
VAESTLR12016_v1_11445|ID:85465662|yhdY|;0;-1,29770737344058;0
VAESTLR12016_v1_12755|ID:85466972|aroB|;0;-1,31409698990909;0
VAESTLR12016_v1_12479|ID:85466696|;0;-1,31351976772752;0
VAESTLR12016_v1_12842|ID:85467059|;0;-1,49175711912275;0
VAESTLR12016_v1_20512|ID:85467672|;0;-1,48957866903721;0
VAESTLR12016_v1_20332|ID:85467492|deoD|;0;-1,4966410134342;0
VAESTLR12016_v1_12044|ID:85466261|;0;-1,48050775975098;0
VAESTLR12016_v1_10900|ID:85465117|;0;-1,48008634660717;0
VAESTLR12016_v1_11112|ID:85465329|ycgB|;0;-1,48507072734876;0
VAESTLR12016_v1_10956|ID:85465173|;0;-1,51281746391944;0
VAESTLR12016_v1_20159|ID:85467319|;0;-1,51018726289613;0
VAESTLR12016_v1_10356|ID:85464573|;0;-1,42746035911694;0
VAESTLR12016_v1_12027|ID:85466244|;0;-1,42604048401779;0
VAESTLR12016_v1_12072|ID:85466289|pykA|;0;-1,41426334034601;0
VAESTLR12016_v1_12442|ID:85466659|;0;-1,45885343573192;0
VAESTLR12016_v1_11076|ID:85465293|ald|;0;-1,45607118864689;0
VAESTLR12016_v1_12028|ID:85466245|;0;-1,67895950618161;0
VAESTLR12016_v1_20199|ID:85467359|acsA|;0;-1,67766271632732;0
VAESTLR12016_v1_20306|ID:85467466|;0;-1,68159815041625;0
VAESTLR12016_v1_11447|ID:85465664|aapJ|;0;-1,68649418934203;0
VAESTLR12016_v1_10759|ID:85464976|katG|;0;-1,68559455178386;0
VAESTLR12016_v1_12025|ID:85466242|;0;-1,65065972919151;0
VAESTLR12016_v1_20370|ID:85467530|;0;-1,64741809574029;0
VAESTLR12016_v1_10197|ID:85464414|glnA|;0;-1,65565188848188;0
VAESTLR12016_v1_11630|ID:85465847|nudL|;0;-1,60094598697082;0
VAESTLR12016_v1_10531|ID:85464748|oadB|;0;-1,59912682710512;0
VAESTLR12016_v1_10636|ID:85464853|;0;-1,6043742770933;0
VAESTLR12016_v1_12477|ID:85466694|gltB|;0;-1,62335546651799;0
VAESTLR12016_v1_11834|ID:85466051|hutU|;0;-1,58226191719836;0
VAESTLR12016_v1_20029|ID:85467189|yejA|;0;-1,57366323573858;0
VAESTLR12016_v1_12435|ID:85466652|;0;-1,56244029486962;0
VAESTLR12016_v1_11313|ID:85465530|;0;-1,56081610233197;0
VAESTLR12016_v1_20197|ID:85467357|phhB|;0;-1,54559759725601;0
VAESTLR12016_v1_20053|ID:85467213|;0;-1,5428319738842;0
VAESTLR12016_v1_20337|ID:85467497|yiaV|;0;-1,53057722948137;0
VAESTLR12016_v1_12844|ID:85467061|acs|;0;-1,54822557589632;0,835407726055221
VAESTLR12016_v1_11411|ID:85465628|mglC|;0;-2,08292519371631;0
VAESTLR12016_v1_20035|ID:85467195|;0;-2,08178661326925;0
VAESTLR12016_v1_11392|ID:85465609|;0;-2,07016537209112;0
VAESTLR12016_v1_10754|ID:85464971|;0;-2,05241016995072;0
VAESTLR12016_v1_12740|ID:85466957|;0;-2,02273556278933;0
VAESTLR12016_v1_20672|ID:85467832|;0;-2,02062396353471;0
VAESTLR12016_v1_11126|ID:85465343|hisQ|;0;-2,02842875820888;0
VAESTLR12016_v1_20267|ID:85467427|;0;-2,11975691415076;0
VAESTLR12016_v1_11409|ID:85465626|mglB|;0;-2,23494602790971;0
VAESTLR12016_v1_20566|ID:85467726|tnpA|;0;-2,23209916444391;0
VAESTLR12016_v1_11352|ID:85465569|;0;-2,22886175206383;0
VAESTLR12016_v1_11854|ID:85466071|;0;-2,25087991938596;0
VAESTLR12016_v1_11003|ID:85465220|;0;-2,20546102423239;0
VAESTLR12016_v1_11127|ID:85465344|hisM|;0;-2,34312417893656;0
VAESTLR12016_v1_20223|ID:85467383|;0;-2,30095537796713;0
VAESTLR12016_v1_20019|ID:85467179|;0;-1,86285538078975;0
VAESTLR12016_v1_11312|ID:85465529|;0;-1,86076007880313;0
VAESTLR12016_v1_12478|ID:85466695|gltD|;0;-1,87464559941525;0
VAESTLR12016_v1_11125|ID:85465342|argT|;0;-1,88854061620247;0
VAESTLR12016_v1_10606|ID:85464823|;0;-1,9600397526835;0
VAESTLR12016_v1_12843|ID:85467060|;0;-1,95557418737926;0
VAESTLR12016_v1_30082|ID:85468510|dppC|;0;-1,92147603392585;0
VAESTLR12016_v1_10344|ID:85464561|;0;-1,7431231865045;0
VAESTLR12016_v1_20706|ID:85467866|;0;-1,74204999805376;0
VAESTLR12016_v1_10605|ID:85464822|;0;-1,71318543327169;0
VAESTLR12016_v1_11610|ID:85465827|torY|;0;-1,71183226133454;0
VAESTLR12016_v1_10755|ID:85464972|;0;-1,79943715260608;0
VAESTLR12016_v1_11569|ID:85465786|vllY|;0;-1,78251065968413;0
VAESTLR12016_v1_10722|ID:85464939|aceA|;0;-1,82492890837872;0
VAESTLR12016_v1_30083|ID:85468511|;0;-2,48400189084342;0
VAESTLR12016_v1_11566|ID:85465783|maiA|;0;-2,48247869582447;0
VAESTLR12016_v1_11568|ID:85465785|;0;-2,44069800157009;0
VAESTLR12016_v1_20508|ID:85467668|;0;-2,41650211539003;0
VAESTLR12016_v1_20509|ID:85467669|;0;-2,40426331437757;0
VAESTLR12016_v1_20438|ID:85467598|;0;-2,38929911206057;0
VAESTLR12016_v1_11853|ID:85466070|;0;-2,53860164961133;0
VAESTLR12016_v1_11567|ID:85465784|;0;-2,51363920214585;0
VAESTLR12016_v1_20473|ID:85467633|;0;-2,59423053015096;0
VAESTLR12016_v1_30084|ID:85468512|;0;-2,58340610026746;0
VAESTLR12016_v1_20449|ID:85467609|;0;-2,62906289283128;0
VAESTLR12016_v1_11410|ID:85465627|mglA|;0;-2,69750211780141;0
VAESTLR12016_v1_20447|ID:85467607|cheA|;0;-2,66381585351696;0
VAESTLR12016_v1_10390|ID:85464607|arcA|;0;-2,93798963840775;0
VAESTLR12016_v1_20442|ID:85467602|cheD|;-1,17860777398086;-2,74049212980568;0
VAESTLR12016_v1_20446|ID:85467606|cheW|;-1,11404508352532;-2,73724203486224;0
VAESTLR12016_v1_20443|ID:85467603|cheR|;-1,18306705488576;-2,88791880497979;0
VAESTLR12016_v1_20448|ID:85467608|cheY|;-1,02131956229344;-2,79419096155619;0
VAESTLR12016_v1_20445|ID:85467605|cheW|;-1,40391203752837;-2,93526489413917;0
VAESTLR12016_v1_20444|ID:85467604|;-1,2852571350946;-2,99100276656513;0
VAESTLR12016_v1_20441|ID:85467601|cheB|;-1,32027102497749;-2,58561959943174;0
VAESTLR12016_v1_21140|ID:85468300|glgC|;-1,22646227286629;-2,61404754700979;0
VAESTLR12016_v1_20439|ID:85467599|;-0,995568665884897;-2,5120621487545;0
VAESTLR12016_v1_20440|ID:85467600|;-1,0681663515093;-2,40595038693238;0
VAESTLR12016_v1_12440|ID:85466657|;-1,66398593386222;-2,59673415508883;0
VAESTLR12016_v1_12748|ID:85466965|;-1,59612338977665;-2,64307066957189;0
VAESTLR12016_v1_12425|ID:85466642|;-1,4901439451085;-2,43350265155565;0
VAESTLR12016_v1_11350|ID:85465567|;-2,37757464544075;-2,34460718150571;0
VAESTLR12016_v1_11351|ID:85465568|;-2,06850682197615;-2,22610521438411;0
VAESTLR12016_v1_21133|ID:85468293|gcvP|;-1,96252378090292;-1,68393261630295;0
VAESTLR12016_v1_21135|ID:85468295|glyA|;-2,05414475009619;-1,56015515683506;0
VAESTLR12016_v1_20280|ID:85467440|;-1,27692988513762;-1,40105776165357;0
VAESTLR12016_v1_20043|ID:85467203|;-1,09383457919911;-1,33977339508171;0
VAESTLR12016_v1_10006|ID:85464223|bioP|;-1,17375280859551;-1,11293818736416;0
VAESTLR12016_v1_20042|ID:85467202|napF|;-1,13700679343113;-1,10019271430761;0
VAESTLR12016_v1_11113|ID:85465330|yeaH|;-0,915188574412576;-1,66011160840689;0
VAESTLR12016_v1_20333|ID:85467493|;-0,822478536181911;-1,54952693747051;0
VAESTLR12016_v1_11381|ID:85465598|;-0,871852596952826;-1,28596133348005;0
VAESTLR12016_v1_11114|ID:85465331|yeaG|;-0,745577507056238;-1,3486151802089;0
VAESTLR12016_v1_20141|ID:85467301|;-1,08416754614117;-2,0105439576117;0
VAESTLR12016_v1_11342|ID:85465559|;-1,06192700613485;-1,89865953955847;0
VAESTLR12016_v1_21134|ID:85468294|gcvH|;-1,29708367579851;-1,71798345833741;0
VAESTLR12016_v1_20282|ID:85467442|empA|;-1,1391980188949;-1,79648997313419;0
VAESTLR12016_v1_21137|ID:85468297|;-1,44141546875609;-2,0610434727326;0
VAESTLR12016_v1_20127|ID:85467287|prtV|;-1,51959155729673;-1,73335352468576;0
VAESTLR12016_v1_12839|ID:85467056|;0;-4,35713277613319;0
VAESTLR12016_v1_12838|ID:85467055|;0;-4,14156744525046;0
VAESTLR12016_v1_12837|ID:85467054|;0;-3,91312900686225;0
VAESTLR12016_v1_12038|ID:85466255|;0;-1,2382882708319;0
VAESTLR12016_v1_11084|ID:85465301|;0;-1,23632097603754;0
VAESTLR12016_v1_20336|ID:85467496|yiaW|;0;-1,2341409450115;0
VAESTLR12016_v1_12742|ID:85466959|astD|;0;-1,2312685272857;0
VAESTLR12016_v1_20713|ID:85467873|;0;-1,2463444219849;0
VAESTLR12016_v1_11515|ID:85465732|potC|;0;-1,24458126224641;0
VAESTLR12016_v1_10898|ID:85465115|umpA|;0;-1,24864975328146;0
VAESTLR12016_v1_12744|ID:85466961|astA|;0;-1,21796144311345;0
VAESTLR12016_v1_12039|ID:85466256|;0;-1,21506077615665;0
VAESTLR12016_v1_12754|ID:85466971|;0;-1,22379910983762;0
VAESTLR12016_v1_30027|ID:85468455|mutM|;0;-1,19075803494012;0
VAESTLR12016_v1_12660|ID:85466877|hpf|;0;-1,18867466433965;0
VAESTLR12016_v1_12674|ID:85466891|ppa|;0;-1,1945418453753;0
VAESTLR12016_v1_20416|ID:85467576|;0;-1,20285304941538;0
VAESTLR12016_v1_10674|ID:85464891|;0;-1,17907687398404;0
VAESTLR12016_v1_12569|ID:85466786|fau|;0;-1,17789126498291;0
VAESTLR12016_v1_11554|ID:85465771|;0;-1,18174019118641;0
VAESTLR12016_v1_30085|ID:85468513|gsiA|;0;-1,17491073714706;0
VAESTLR12016_v1_20046|ID:85467206|napC|;0;-1,15749991042751;0
VAESTLR12016_v1_21092|ID:85468252|;0;-1,15711864447511;0
VAESTLR12016_v1_20198|ID:85467358|phhA|;0;-1,15662619358243;0
VAESTLR12016_v1_12680|ID:85466897|ytfJ|;0;-1,14932031219181;0
VAESTLR12016_v1_11045|ID:85465262|;0;-1,14437250791199;0
VAESTLR12016_v1_11888|ID:85466105|;0;-1,13107219324588;0
VAESTLR12016_v1_20044|ID:85467204|napA|;0;-1,12442238379784;0
VAESTLR12016_v1_12738|ID:85466955|prkB|;0;-1,11736744881532;0
VAESTLR12016_v1_12846|ID:85467063|accB|;0;-1,11097636849446;0
VAESTLR12016_v1_11329|ID:85465546|;0;-0,987624374425076;0
VAESTLR12016_v1_10921|ID:85465138|;0;-0,985509880566689;0
VAESTLR12016_v1_20375|ID:85467535|;0;-0,982916136617921;0
VAESTLR12016_v1_30028|ID:85468456|;0;-0,980552995838503;0
VAESTLR12016_v1_11775|ID:85465992|;0;-0,997375393225274;0
VAESTLR12016_v1_10514|ID:85464731|rpoS|;0;-0,968296305339384;0
VAESTLR12016_v1_11956|ID:85466173|oppA|;0;-0,964558347869251;0
VAESTLR12016_v1_12753|ID:85466970|dam|;0;-0,974948090343924;0
VAESTLR12016_v1_11945|ID:85466162|;0;-0,955101202055764;0
VAESTLR12016_v1_12661|ID:85466878|ptsN|;0;-0,951184705044003;0
VAESTLR12016_v1_11386|ID:85465603|;0;-0,943470725562006;0
VAESTLR12016_v1_10236|ID:85464453|gmk|;0;-0,940155636500763;0
VAESTLR12016_v1_10397|ID:85464614|;0;-1,09960511694456;0
VAESTLR12016_v1_12847|ID:85467064|accC|;0;-1,09372744283293;0
VAESTLR12016_v1_10574|ID:85464791|dksA|;0;-1,08520996736263;0
VAESTLR12016_v1_20562|ID:85467722|;0;-1,07505054251962;0
VAESTLR12016_v1_11837|ID:85466054|;0;-1,06573625928017;0
VAESTLR12016_v1_11465|ID:85465682|;0;-1,06430752022892;0
VAESTLR12016_v1_10002|ID:85464219|;0;-1,05626467753486;0
VAESTLR12016_v1_21159|ID:85468319|;0;-1,02093804141209;0
VAESTLR12016_v1_12075|ID:85466292|ptsG|;0;-1,01228922725193;0
VAESTLR12016_v1_21184|ID:85468344|;0;-1,03487436404192;0
VAESTLR12016_v1_12450|ID:85466667|deoD|;0;-0,89272741337259;0
VAESTLR12016_v1_21185|ID:85468345|;0;-0,892518259301371;0
VAESTLR12016_v1_21209|ID:85468369|yciH|;0;-0,890728789492373;0
VAESTLR12016_v1_21136|ID:85468296|;0;-0,890116391152516;0
VAESTLR12016_v1_12571|ID:85466788|serA|;0;-0,895416229493387;0
VAESTLR12016_v1_12731|ID:85466948|yheV|;0;-0,882847340685711;0
VAESTLR12016_v1_11340|ID:85465557|;0;-0,882809226249743;0
VAESTLR12016_v1_11124|ID:85465341|hisP|;0;-0,884546341473691;0
VAESTLR12016_v1_11616|ID:85465833|;0;-0,886392669602313;0
VAESTLR12016_v1_11388|ID:85465605|nrdA|;0;-0,870948555457328;0
VAESTLR12016_v1_11921|ID:85466138|;0;-0,914701923249464;0
VAESTLR12016_v1_10983|ID:85465200|;0;-0,909867847903436;0
VAESTLR12016_v1_11387|ID:85465604|nrdB|;0;-0,906810927765073;0
VAESTLR12016_v1_10901|ID:85465118|;0;-0,904637322877606;0
VAESTLR12016_v1_11088|ID:85465305|;0;-0,921360573477684;0
VAESTLR12016_v1_10883|ID:85465100|ptsI|;0;-0,920613693809506;0
VAESTLR12016_v1_10153|ID:85464370|;0;-0,847241970337554;0
VAESTLR12016_v1_10579|ID:85464796|acnB|;0;-0,841370815384726;0
VAESTLR12016_v1_20560|ID:85467720|;0;-0,855617246881636;0
VAESTLR12016_v1_12835|ID:85467052|agmR|;0;-0,811757061231297;0
VAESTLR12016_v1_10529|ID:85464746|oadG|;0;-0,809424256216894;0
VAESTLR12016_v1_11518|ID:85465735|cobB|;0;-0,814200801952163;0
VAESTLR12016_v1_12795|ID:85467012|;0;-0,805918959821591;0
VAESTLR12016_v1_20421|ID:85467581|;0;-0,796466648469266;0
VAESTLR12016_v1_11089|ID:85465306|;0;-0,823959038212254;0
VAESTLR12016_v1_20036|ID:85467196|;0;-0,819751911122181;0
VAESTLR12016_v1_21210|ID:85468370|;0;-0,783007776165428;0
VAESTLR12016_v1_12564|ID:85466781|;0;-0,77958701688524;0
VAESTLR12016_v1_10366|ID:85464583|;0;-0,770289253910222;0
VAESTLR12016_v1_11240|ID:85465457|tfoX|;0;-0,735036395656063;0
VAESTLR12016_v1_10537|ID:85464754|luxS|;0;-0,732906133454672;0
VAESTLR12016_v1_11516|ID:85465733|potD|;0;-0,740842892995756;0
VAESTLR12016_v1_11006|ID:85465223|apt|;0;-0,756702942951473;0
VAESTLR12016_v1_12745|ID:85466962|argD|;0;-0,755817293205677;0
VAESTLR12016_v1_12354|ID:85466571|crl|;0;-0,728080469594704;0
VAESTLR12016_v1_12172|ID:85466389|pgm|;0;-0,721794797212941;0
VAESTLR12016_v1_11016|ID:85465233|gapA|;0;-0,711040023011195;0
VAESTLR12016_v1_20327|ID:85467487|lpp|;0;-0,689911488135811;0
VAESTLR12016_v1_11464|ID:85465681|pepN|;0;-0,688487562195912;0
VAESTLR12016_v1_20089|ID:85467249|;0;-0,686123058997229;0
VAESTLR12016_v1_20561|ID:85467721|;0;-0,676466714607719;0
VAESTLR12016_v1_20088|ID:85467248|;0;-0,675636853980749;0
VAESTLR12016_v1_11019|ID:85465236|yeaC|;0;-0,664012113006757;0
VAESTLR12016_v1_11087|ID:85465304|;0;-0,613597186438944;0
VAESTLR12016_v1_12135|ID:85466352|;0;-0,612362476511038;0
VAESTLR12016_v1_12659|ID:85466876|rpoN|;0;-0,595863876867897;0
VAESTLR12016_v1_12756|ID:85466973|aroK|;0;-0,52926112255114;0
VAESTLR12016_v1_12242|ID:85466459|ushA|;0;-0,526460376717499;0
